Timestamp,Data
15:05:00.873,69.0
15:05:00.874,569.0
15:05:00.876,5863.0
15:05:00.877,729.0
15:05:00.878,788.0
15:05:00.879,681.0
15:05:00.880,615.0
15:05:00.881,701.0
15:05:00.882,783.0
15:05:00.883,723.0
15:05:00.884,646.0
15:05:00.885,676.0
15:05:00.886,731.0
15:05:00.887,737.0
15:05:00.888,732.0
15:05:00.889,671.0
15:05:00.890,668.0
15:05:00.891,749.0
15:05:00.892,759.0
15:05:00.893,666.0
15:05:00.894,644.0
15:05:00.895,777.0
15:05:00.896,743.0
15:05:00.897,701.0
15:05:00.898,663.0
15:05:00.899,654.0
15:05:00.900,737.0
15:05:00.901,787.0
15:05:00.902,700.0
15:05:00.903,633.0
15:05:00.904,691.0
15:05:00.905,791.0
15:05:00.906,727.0
15:05:00.907,662.0
15:05:00.908,680.0
15:05:00.909,723.0
15:05:00.910,734.0
15:05:00.911,728.0
15:05:00.912,669.0
15:05:00.913,667.0
15:05:00.914,753.0
15:05:00.915,739.0
15:05:00.916,667.0
15:05:00.917,623.0
15:05:00.918,791.0
15:05:00.919,743.0
15:05:00.920,696.0
15:05:00.921,671.0
15:05:00.922,645.0
15:05:00.923,723.0
15:05:00.924,798.0
15:05:00.925,691.0
15:05:00.926,620.0
15:05:00.927,697.0
15:05:00.928,775.0
15:05:00.929,725.0
15:05:00.930,671.0
15:05:00.931,668.0
15:05:00.932,718.0
15:05:00.933,739.0
15:05:00.934,731.0
15:05:00.935,670.0
15:05:00.936,669.0
15:05:00.937,752.0
15:05:00.938,761.0
15:05:00.939,637.0
15:05:00.940,649.0
15:05:00.941,751.0
15:05:00.942,749.0
15:05:00.943,701.0
15:05:00.944,664.0
15:05:00.945,649.0
15:05:00.946,724.0
15:05:00.947,787.0
15:05:00.948,695.0
15:05:00.949,619.0
15:05:00.950,681.0
15:05:00.951,787.0
15:05:00.952,723.0
15:05:00.953,670.0
15:05:00.954,677.0
15:05:00.955,701.0
15:05:00.956,737.0
15:05:00.957,729.0
15:05:00.958,658.0
15:05:00.959,667.0
15:05:00.960,777.0
15:05:00.961,749.0
15:05:00.962,633.0
15:05:00.963,651.0
15:05:00.964,748.0
15:05:00.965,750.0
15:05:00.966,711.0
15:05:00.967,669.0
15:05:00.968,629.0
15:05:00.969,721.0
15:05:00.970,791.0
15:05:00.971,701.0
15:05:00.972,629.0
15:05:00.973,685.0
15:05:00.974,779.0
15:05:00.975,723.0
15:05:00.976,677.0
15:05:00.977,675.0
15:05:00.978,696.0
15:05:00.979,730.0
15:05:00.980,732.0
15:05:00.981,663.0
15:05:00.982,659.0
15:05:00.983,759.0
15:05:00.984,751.0
15:05:00.985,635.0
15:05:00.986,651.0
15:05:00.987,741.0
15:05:00.988,745.0
15:05:00.989,723.0
15:05:00.990,669.0
15:05:00.991,633.0
15:05:00.992,717.0
15:05:00.993,793.0
15:05:00.994,696.0
15:05:00.995,623.0
15:05:00.996,676.0
15:05:00.997,775.0
15:05:00.998,723.0
15:05:00.999,679.0
15:05:01.000,670.0
15:05:01.001,685.0
15:05:01.002,733.0
15:05:01.003,733.0
15:05:01.004,660.0
15:05:01.005,661.0
15:05:01.006,764.0
15:05:01.007,758.0
15:05:01.008,627.0
15:05:01.009,649.0
15:05:01.010,731.0
15:05:01.011,739.0
15:05:01.012,733.0
15:05:01.013,677.0
15:05:01.014,627.0
15:05:01.015,722.0
15:05:01.016,795.0
15:05:01.017,701.0
15:05:01.018,633.0
15:05:01.019,683.0
