Serial Data
27
03
8
51
75
851
75
63
99
01
95
2
37
99
71
35
5
81
63
03
03
7
46
68
66
59
65
54
73
98
72
60
7
73
33
65
75
7
77
77
71
72
8
85
01
738
47
03
87
40
82
73
69
63
81
83
85
65
69
04
